Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_1e033c50-86e9-467e-b47c-36c613f4c59b,0.0196,0.0313,0.0924,0.4467,0.0473,0.0196,0.0313,0.0924,0.4467,0.9213,0.9121
node2vec_mrr_1576eafd-9427-41d9-b469-2393f3e66972,0.0334,0.0491,0.0619,0.4067,0.0528,0.0334,0.0491,0.0619,0.4067,0.9192,0.9065
node2vec_mrr_26ed8eab-8584-48e6-b88c-c1965612f521,0.0206,0.0303,0.0428,0.3611,0.0361,0.0206,0.0303,0.0428,0.3611,0.9043,0.8849
node2vec_mrr_63660fd7-3328-446e-973e-1df35eebe2f9,0.0255,0.0331,0.0547,0.4156,0.0469,0.0255,0.0331,0.0547,0.4156,0.9197,0.9085
node2vec_mrr_8c9a79ed-ac68-4fcb-851c-cb29eba2efab,0.0341,0.0395,0.0624,0.3657,0.0524,0.0341,0.0395,0.0624,0.3657,0.8939,0.8821
node2vec_mrr_1fff666d-290f-44b2-87b0-455040f37250,0.0313,0.0334,0.068,0.4097,0.0485,0.0313,0.0334,0.068,0.4097,0.9169,0.9046
node2vec_mrr_764ae5a5-43ec-4749-ba48-9dc04829d177,0.0405,0.0418,0.056,0.3165,0.0532,0.0405,0.0418,0.056,0.3165,0.9114,0.892
node2vec_mrr_cf30fc20-e608-48b1-9c4f-a5af28196f03,0.026,0.0321,0.0703,0.3843,0.0461,0.026,0.0321,0.0703,0.3843,0.9157,0.9015
node2vec_mrr_ba2ce5b3-1a74-4ba3-9453-7b0741ec5058,0.0227,0.029,0.0532,0.3659,0.0398,0.0227,0.029,0.0532,0.3659,0.9112,0.8947
node2vec_mrr_b9cce528-a141-4ab4-8eaa-740e29d011a8,0.0326,0.04,0.0769,0.3881,0.0517,0.0326,0.04,0.0769,0.3881,0.9171,0.9032
node2vec_mrr_fdab3a32-22de-4071-99bc-eeb418f6842b,0.0237,0.0247,0.0555,0.3608,0.0391,0.0237,0.0247,0.0555,0.3608,0.9042,0.8862
