Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,1,0.1,dot,2000,1.1392333507537842,1.195331573486328,4865
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,2,0.1,inner,2000,1.1833791732788086,1.2128548622131348,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,2,0.1,inner,2000,0.8462293148040771,0.8596465587615967,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,2,0.1,dot,2000,1.262440204620361,1.2967398166656494,5425
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,2,0.1,dot,2000,1.307730197906494,1.3359136581420898,5425
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,3,0.1,inner,2000,1.1801459789276123,1.2384417057037354,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,3,0.1,inner,2000,1.2126133441925049,1.253235101699829,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,3,0.1,dot,2000,1.2015221118927002,1.2284526824951172,6481
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,3,0.1,dot,2000,1.318749189376831,1.3321828842163086,6481
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,1,0.1,inner,2000,0.864830493927002,0.9095516204833984,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,1,0.1,inner,2000,1.0850176811218262,1.102273941040039,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,1,0.1,dot,2000,1.098466157913208,1.1268253326416016,4865
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,1,0.1,dot,2000,1.3238191604614258,1.35528826713562,4865
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,2,0.1,inner,2000,1.0133519172668457,1.0379807949066162,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,2,0.1,inner,2000,1.236602783203125,1.257204294204712,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,2,0.1,dot,2000,0.9342267513275146,0.9528343677520752,5137
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,2,0.1,dot,2000,1.1585147380828855,1.1749110221862793,5137
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,3,0.1,inner,2000,1.1972100734710691,1.2273941040039062,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,3,0.1,inner,2000,1.0231623649597168,1.0400025844573977,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,3,0.1,dot,2000,1.3469059467315674,1.411372423171997,5409
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,16.0,1,3,0.1,dot,2000,1.400205373764038,1.4267544746398926,5409
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,1,0.1,inner,2000,1.2499046325683594,1.281102180480957,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,1,0.1,inner,2000,1.1739015579223633,1.221015453338623,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,1,0.1,dot,2000,0.9456186294555664,1.0077216625213623,4865
