Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,64.0,1,2,0.1,inner,2000,0.9696743488311768,0.99310040473938,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,64.0,1,2,0.1,dot,2000,0.9712493419647216,0.991401195526123,6241
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,64.0,1,3,0.1,inner,2000,0.8902816772460938,0.9479372501373292,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,64.0,1,3,0.1,dot,2000,1.001143217086792,1.0418953895568848,10401
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,32.0,1,1,0.1,inner,2000,0.922659158706665,0.97886061668396,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,32.0,1,1,0.1,dot,2000,1.0485224723815918,1.0897271633148191,5105
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,32.0,1,2,0.1,inner,2000,0.9796633720397948,1.0059785842895508,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,32.0,1,2,0.1,dot,2000,1.0433831214904783,1.0785775184631348,5665
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,32.0,1,3,0.1,inner,2000,1.107274293899536,1.1462173461914062,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,32.0,1,3,0.1,dot,2000,1.004657745361328,1.0612962245941162,6721
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,16.0,1,1,0.1,inner,2000,1.0509018898010254,1.1376590728759766,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,16.0,1,1,0.1,dot,2000,1.0309031009674072,1.0923385620117188,5105
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,16.0,1,2,0.1,inner,2000,0.7950630187988281,0.8214116096496582,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,16.0,1,2,0.1,dot,2000,1.0043864250183103,1.0335164070129397,5377
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,16.0,1,3,0.1,inner,2000,0.974614143371582,1.001370906829834,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,16.0,1,3,0.1,dot,2000,0.8441553115844727,0.8561694622039795,5649
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,64.0,1,1,0.1,inner,2000,0.7685625553131104,0.8265171051025391,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,64.0,1,1,0.1,dot,2000,0.9932608604431152,1.048536777496338,5105
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,64.0,1,2,0.1,inner,2000,0.7164783477783203,0.7649936676025391,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,64.0,1,2,0.1,dot,2000,1.0273301601409912,1.0887699127197266,6241
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,64.0,1,3,0.1,inner,2000,1.0075783729553225,1.0624680519104004,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,64.0,1,3,0.1,dot,2000,0.8502044677734375,0.8699660301208496,10401
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,32.0,1,1,0.1,inner,2000,1.0544016361236572,1.0853781700134275,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,32.0,1,1,0.1,dot,2000,0.944798707962036,0.9735748767852784,5105
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,32.0,1,2,0.1,inner,2000,0.909254789352417,0.9730255603790284,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,32.0,1,2,0.1,dot,2000,1.054861307144165,1.0797350406646729,5665
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,32.0,1,3,0.1,inner,2000,0.9828503131866456,1.0113143920898438,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,32.0,1,3,0.1,dot,2000,1.049436330795288,1.0633158683776855,6721
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,16.0,1,1,0.1,inner,2000,1.042351245880127,1.0819318294525146,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,16.0,1,1,0.1,dot,2000,1.0846014022827148,1.1455090045928955,5105
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,16.0,1,2,0.1,inner,2000,0.7970495223999023,0.8304798603057861,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,16.0,1,2,0.1,dot,2000,1.010718822479248,1.0693936347961426,5377
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,2,2,16.0,1,3,0.1,inner,2000,1.0025005340576172,1.0146028995513916,5088
