Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runexjxnqdf_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,2048,0.04
cora_rung1pnrsyy_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,2048,0.02
cora_run0mccvj2k_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,2048,0.04
cora_rund1d30szj_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,2048,0.1
cora_run2s4dlzp5_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,2048,0.1
cora_runfwdu8tgl_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,4096,0.01
cora_run73yqkq6v_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,4096,0.01
cora_rund2tfnnas_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,4096,0.02
cora_runymc84zot_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,4096,0.04
cora_run5z3a3wlp_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,4096,0.02
cora_runyto8m1rb_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,4096,0.1
cora_rungst0kap1_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,8192,0.01
cora_run0pj3cbqd_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,4096,0.04
cora_rune66mhjyq_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,8192,0.02
cora_run88zwmiil_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,8192,0.04
cora_run4tigktyg_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,4096,0.1
cora_runqceajgwf_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,8192,0.1
cora_run1hhro5tf_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,16384,0.01
cora_run9j29rjf3_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,8192,0.01
cora_runc48yb7ez_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,16384,0.02
cora_runkr4gzoyx_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,8192,0.02
cora_rundnzmu79l_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,16384,0.04
cora_runuxvlqkgp_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,160,16384,0.1
cora_runnzkkrzrh_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,8192,0.04
cora_rundkwt81k9_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,1024,0.01
cora_runddjvbnqi_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,1024,0.02
cora_runjff9hbfr_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,8192,0.1
cora_runqr0b11a0_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,1024,0.04
cora_run4ydmq7wl_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,1024,0.1
cora_runiun3qpb8_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,16384,0.01
cora_run7gmuxs9n_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,2048,0.01
cora_runlmf7ag4w_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,2048,0.02
cora_runmqg17vz4_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,16384,0.02
cora_runqoo5kfjt_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,2048,0.04
cora_runmreo1j3j_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,2048,0.1
