Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
cora_runjizg1bcg_GAT,73.25,82.1,88.01,90.77,91.14,92.44,78.94,73.25,82.1,88.01,90.77,91.14,92.44,96.23,97.5,83.21,0.01,1024,32,64,4,0.1,0.0,6,10000
cora_runjdomsgms_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,4,0.2,0.0,7,10000
cora_runzebipjc0_GAT,73.25,82.1,88.01,90.77,91.14,92.44,78.94,73.25,82.1,88.01,90.77,91.14,92.44,96.23,97.5,83.21,0.01,1024,32,64,4,0.1,0.0,7,10000
cora_runm3rrebcl_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,4,0.2,0.1,5,10000
cora_runtahipzwy_GAT,73.25,82.1,88.01,90.77,91.14,92.44,78.94,73.25,82.1,88.01,90.77,91.14,92.44,96.23,97.5,82.47,0.01,1024,32,64,4,0.1,0.1,5,10000
cora_runybxm7nwz_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,4,0.2,0.1,6,10000
cora_run1oaaemrh_GAT,73.25,82.1,88.01,90.77,91.14,92.44,78.94,73.25,82.1,88.01,90.77,91.14,92.44,96.23,97.5,82.47,0.01,1024,32,64,4,0.1,0.1,6,10000
cora_run9e0vgbee_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,4,0.2,0.1,7,10000
cora_runjc2w1w7q_GAT,73.25,80.44,88.01,90.77,91.14,92.44,78.94,73.25,80.44,88.01,90.77,91.14,92.44,96.23,97.5,82.47,0.01,1024,32,64,4,0.1,0.1,7,10000
cora_run8z5smjzd_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,2,0.1,0.0,5,10000
cora_runbevrdrrf_GAT,73.25,80.44,88.01,90.77,91.14,92.44,78.94,73.25,80.44,88.01,90.77,91.14,92.44,96.83,97.57,82.47,0.01,1024,32,64,4,0.2,0.0,5,10000
cora_run5sudkl9b_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,83.67,0.01,1024,32,64,2,0.1,0.0,6,10000
cora_runjjazav3v_GAT,73.25,80.44,88.01,90.77,91.14,92.44,78.94,73.25,80.44,88.01,90.77,91.14,92.44,96.83,97.57,82.47,0.01,1024,32,64,4,0.2,0.0,6,10000
cora_runcn6oj7lo_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,83.67,0.01,1024,32,64,2,0.1,0.0,7,10000
cora_runz3q4emsi_GAT,73.25,80.44,88.01,90.77,91.14,92.44,78.94,73.25,80.44,88.01,90.77,91.14,92.44,96.83,97.57,82.47,0.01,1024,32,64,4,0.2,0.0,7,10000
