Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
cora_run2nx7a5sd_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,32,32,0.015,1024,10000
cora_runavtmpg8e_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,64,256,0.015,1024,10000
cora_run7voydyos_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,32,64,0.015,1024,10000
cora_runb6q6phw4_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,128,32,0.015,1024,10000
cora_runfiytnze7_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,32,128,0.015,1024,10000
cora_run6borpey7_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,128,64,0.015,1024,10000
cora_runjv14t0ub_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,32,256,0.015,1024,10000
cora_runais09t3l_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,128,128,0.015,1024,10000
cora_runvit6xn9y_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,64,32,0.015,1024,10000
cora_runlaxliyf5_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,128,256,0.015,1024,10000
