Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,batch_size
cora_run38i46mz5_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,20,150,50,16.0
cora_runov5slw5p_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,20,200,50,16.0
cora_run0qbnqady_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,30,50,50,16.0
cora_runtstla0rb_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,30,100,50,16.0
cora_runv3267p6g_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,30,150,50,16.0
cora_runvfjgld5t_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,30,200,50,16.0
cora_runehbafjb2_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,40,5,50,50,16.0
cora_runhhsn28b2_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,5,100,50,16.0
cora_runsocbe6z8_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,5,150,50,16.0
cora_runlx9kgu52_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,5,200,50,16.0
cora_runt6iv0ni2_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,10,50,50,16.0
cora_runfafbp7bw_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,10,100,50,16.0
cora_runnq7jgvd0_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,10,150,50,16.0
cora_runcno7jytk_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,10,200,50,16.0
cora_run52qfwaeh_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,20,50,50,16.0
